State,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
Pennsylvania,12794885.0,40.9,63627.0,35518.0,1480430.0,11.570483048499458
California,39346023.0,36.7,78672.0,38576.0,4853434.0,12.335259398389514
West Virginia,1807426.0,42.7,48037.0,27346.0,300152.0,16.606599661618237
Utah,3151239.0,31.1,74197.0,30986.0,283360.0,8.992018694868907
New York,19514849.0,39.0,71117.0,40898.0,2581048.0,13.226072105400354
District of Columbia,701974.0,34.1,90842.0,58659.0,103391.0,14.728608182069422
Alaska,736990.0,34.6,77790.0,37094.0,74369.0,10.09091032442774
Florida,21216924.0,42.2,57703.0,32848.0,2772939.0,13.069467562781485
South Carolina,5091517.0,39.7,54864.0,30727.0,726470.0,14.268242647525286
North Dakota,760394.0,35.2,65315.0,36289.0,77491.0,10.190901032885582
Maine,1340825.0,44.8,59489.0,33774.0,144384.0,10.768295638879048
Georgia,10516579.0,36.9,61224.0,32427.0,1461572.0,13.89778938569282
Alabama,4893186.0,39.2,52035.0,28934.0,762642.0,15.585796248088668
New Hampshire,1355244.0,43.0,77923.0,41234.0,97418.0,7.188225884047449
Oregon,4176346.0,39.5,65667.0,35393.0,506558.0,12.12921534757896
Wyoming,581348.0,38.0,65304.0,34415.0,61006.0,10.493886622126507
Arizona,7174064.0,37.9,61529.0,32340.0,990528.0,13.807069465786757
Louisiana,4664616.0,37.2,50800.0,29522.0,845230.0,18.120033889177588
Indiana,6696893.0,37.8,58235.0,30693.0,838149.0,12.51549039233567
Idaho,1754367.0,36.6,58915.0,29494.0,205676.0,11.7236587327509
Connecticut,3570549.0,41.1,79855.0,45668.0,339156.0,9.4987073416441
Hawaii,1420074.0,39.4,83173.0,37013.0,127971.0,9.01157263635557
Illinois,12716164.0,38.3,68428.0,37306.0,1488670.0,11.706910983532456
Massachusetts,6873003.0,39.6,84385.0,45555.0,653454.0,9.507547137692214
Texas,28635442.0,34.8,63826.0,32177.0,3984260.0,13.913736690357355
Montana,1061705.0,40.1,56539.0,32463.0,132476.0,12.47766564158594
Nebraska,1923826.0,36.6,63015.0,33205.0,193820.0,10.074715696741805
Ohio,11675275.0,39.5,58116.0,32465.0,1546011.0,13.241752335598092
Colorado,5684926.0,36.9,75231.0,39545.0,544232.0,9.573246863723467
New Jersey,8885418.0,40.0,85245.0,44153.0,842704.0,9.484123313050663
Maryland,6037624.0,38.8,87063.0,43352.0,531553.0,8.804009656778891
Virginia,8509358.0,38.4,76398.0,41255.0,826708.0,9.715280518224759
Vermont,624340.0,42.8,63477.0,35854.0,64700.0,10.362943268091104
North Carolina,10386227.0,38.9,56642.0,31993.0,1411939.0,13.594339888777705
Arkansas,3011873.0,38.3,49475.0,27724.0,470190.0,15.61121601076805
Washington,7512465.0,37.8,77006.0,40837.0,751044.0,9.997304479954316
Kansas,2912619.0,36.9,61091.0,32798.0,323644.0,11.111786333880264
Oklahoma,3949342.0,36.7,53840.0,29873.0,585520.0,14.825760848262824
Wisconsin,5806975.0,39.6,63293.0,34450.0,620947.0,10.693123355964163
Mississippi,2981835.0,37.7,46511.0,25444.0,564439.0,18.92924994173051
Missouri,6124160.0,38.7,57290.0,31839.0,772992.0,12.622008569338488
Michigan,9973907.0,39.8,59234.0,32854.0,1337256.0,13.407544305355966
Rhode Island,1057798.0,40.0,70305.0,37504.0,117785.0,11.134923681080886
Minnesota,5600166.0,38.1,73382.0,38881.0,511185.0,9.12803299045064
Iowa,3150011.0,38.3,61836.0,33021.0,339090.0,10.764724313661127
New Mexico,2097021.0,38.1,51243.0,27945.0,381026.0,18.16987049724347
Nevada,3030281.0,38.2,62043.0,32629.0,381695.0,12.596026573113187
Delaware,967679.0,41.0,69110.0,36574.0,107641.0,11.123626739858983
Puerto Rico,3255642.0,42.4,21058.0,13318.0,1400958.0,43.03169697405304
Kentucky,4461952.0,39.0,52238.0,29123.0,717895.0,16.089258692159845
South Dakota,879336.0,37.2,59896.0,31415.0,108863.0,12.380136830517573
Tennessee,6772268.0,38.8,54833.0,30869.0,965213.0,14.252433601269177
