State,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
Alabama,4876250.0,39.0,50536.0,27928.0,795989.0,16.323793899000258
Alaska,737068.0,34.3,77640.0,36787.0,76933.0,10.437707240037554
Arizona,7050299.0,37.7,58945.0,30694.0,1043764.0,14.804535240278462
Arkansas,2999370.0,38.1,47597.0,26577.0,496260.0,16.545474549655427
California,39283497.0,36.5,75235.0,36955.0,5149742.0,13.109174063602332
Colorado,5610349.0,36.7,72331.0,38226.0,565873.0,10.086235276985443
Delaware,957248.0,40.6,68287.0,35450.0,109400.0,11.42859530654543
District of Columbia,692683.0,34.0,86420.0,56147.0,107140.0,15.46739273231767
Connecticut,3575074.0,41.0,78444.0,44496.0,344146.0,9.626262281563962
Florida,20901636.0,42.0,55660.0,31619.0,2870487.0,13.733312550271185
Georgia,10403847.0,36.7,58700.0,31067.0,1528558.0,14.69223836144457
Idaho,1717750.0,36.4,55785.0,27970.0,221256.0,12.880570513753456
Hawaii,1422094.0,39.1,81275.0,35567.0,130649.0,9.187086085729916
Illinois,12770631.0,38.1,65886.0,36038.0,1557873.0,12.198872553752434
Indiana,6665703.0,37.7,56303.0,29777.0,867996.0,13.021822304414103
Iowa,3139508.0,38.2,60523.0,32176.0,348122.0,11.088425320145705
Kansas,2910652.0,36.7,59597.0,31814.0,337739.0,11.603551369246478
Kentucky,4449052.0,38.9,50589.0,28178.0,747010.0,16.790318476835065
Louisiana,4664362.0,36.9,49469.0,27923.0,871467.0,18.683519846872947
Maine,1335492.0,44.7,57918.0,32637.0,153131.0,11.466261123241472
Maryland,6018848.0,38.7,84805.0,42122.0,539991.0,8.971667003386695
Massachusetts,6850553.0,39.5,81215.0,43761.0,680962.0,9.940248619345036
Michigan,9965265.0,39.7,57144.0,31713.0,1398527.0,14.034017158600399
Minnesota,5563378.0,38.0,71306.0,37625.0,526065.0,9.455855776831989
Mississippi,2984418.0,37.5,45081.0,24369.0,585786.0,19.628148603848388
Missouri,6104910.0,38.6,55461.0,30810.0,810045.0,13.268745976599163
Montana,1050649.0,39.9,54970.0,31151.0,134605.0,12.811605017470153
Nebraska,1914571.0,36.5,61439.0,32302.0,206579.0,10.789832291411496
Nevada,2972382.0,38.0,60365.0,31557.0,384690.0,12.942145390464617
New Hampshire,1348124.0,42.9,76768.0,40003.0,98682.0,7.319949796902955
New Jersey,8878503.0,39.9,82545.0,42745.0,869081.0,9.788598370693798
New Mexico,2092454.0,37.8,49754.0,27230.0,392065.0,18.737090516685193
New York,19572319.0,38.8,68486.0,39326.0,2681277.0,13.699332204834798
North Carolina,10264876.0,38.7,54602.0,30783.0,1467591.0,14.29721118891256
North Dakota,756717.0,35.1,64894.0,36062.0,78198.0,10.333850039050265
Ohio,11655397.0,39.4,56602.0,31552.0,1588343.0,13.627532378347988
Oklahoma,3932870.0,36.6,52919.0,28422.0,598373.0,15.214665117331618
Oregon,4129803.0,39.3,62818.0,33763.0,533527.0,12.918945528394454
Pennsylvania,12791530.0,40.8,61744.0,34352.0,1539183.0,12.032829536419802
Rhode Island,1057231.0,39.9,67167.0,36121.0,125826.0,11.901467134429467
South Carolina,5020806.0,39.4,53199.0,29426.0,741650.0,14.771532698136514
South Dakota,870638.0,37.0,58275.0,30773.0,110553.0,12.697929564296528
Tennessee,6709356.0,38.7,53320.0,29859.0,996930.0,14.858803139973494
Texas,28260856.0,34.6,61874.0,31277.0,4072194.0,14.409308762622052
Vermont,624313.0,42.9,61973.0,34577.0,65652.0,10.51587905425644
Utah,3096848.0,30.8,71621.0,29775.0,298537.0,9.64002753767702
Virginia,8454463.0,38.2,74222.0,39278.0,865691.0,10.239455776197731
Washington,7404107.0,37.7,73775.0,38915.0,785244.0,10.605519342170501
West Virginia,1817305.0,42.5,46711.0,26480.0,310044.0,17.06064749725555
Wisconsin,5790716.0,39.5,61747.0,33375.0,639160.0,11.037667880794016
Wyoming,581024.0,37.7,64049.0,33366.0,62257.0,10.715047915404528
Puerto Rico,3318447.0,41.7,20539.0,12914.0,1449091.0,43.667745785905275
