State,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
Alabama,5028092.0,39.3,59609.0,33344.0,768897.0,15.292023296312001
Alaska,734821.0,35.3,86370.0,42828.0,75227.0,10.23745919074169
Arizona,7172282.0,38.4,72581.0,38334.0,916876.0,12.78360220638285
Arkansas,3018669.0,38.4,56335.0,31868.0,475729.0,15.759561581610969
California,39356104.0,37.3,91905.0,45591.0,4685272.0,11.90481659465073
Colorado,5770790.0,37.3,87598.0,47346.0,540105.0,9.359290495755348
Connecticut,3611317.0,40.9,90213.0,52034.0,355692.0,9.849370742031232
Delaware,993635.0,41.4,79325.0,42180.0,107790.0,10.84804782440232
District of Columbia,670587.0,34.8,101722.0,71297.0,98039.0,14.61987780854684
Florida,21634529.0,42.4,67917.0,38850.0,2725633.0,12.598531726759571
Georgia,10722325.0,37.2,71355.0,37836.0,1415573.0,13.202108684450433
Hawaii,1450589.0,39.9,94814.0,42683.0,135941.0,9.371434637929834
Idaho,1854109.0,36.9,70214.0,34919.0,198788.0,10.721484011997138
Illinois,12757634.0,38.7,78433.0,43198.0,1467893.0,11.505997115139062
Indiana,6784403.0,38.0,67173.0,35578.0,810702.0,11.949496514284307
Iowa,3188836.0,38.4,70571.0,37949.0,343141.0,10.760697633870164
Kansas,2935922.0,37.1,69747.0,38108.0,329870.0,11.235652718294286
Kentucky,4502935.0,39.1,60183.0,33515.0,704758.0,15.65108090612012
Louisiana,4640546.0,37.6,57852.0,32981.0,842038.0,18.145235495995514
Maine,1366949.0,44.8,68251.0,39718.0,145491.0,10.643484138764505
Maryland,6161707.0,39.1,98461.0,49865.0,558567.0,9.065134061064573
Massachusetts,6984205.0,39.8,96505.0,53513.0,672361.0,9.626879508834577
Michigan,10057921.0,39.9,68505.0,37929.0,1293164.0,12.857169985725678
Minnesota,5695292.0,38.5,84313.0,44947.0,516284.0,9.065101490845421
Mississippi,2958846.0,38.1,52985.0,29209.0,548804.0,18.547906852874398
Missouri,6154422.0,38.8,65920.0,36754.0,766582.0,12.455791949268347
Montana,1091840.0,40.1,66341.0,37837.0,132329.0,12.119816090269637
Nebraska,1958939.0,36.9,71722.0,38585.0,198466.0,10.131300668372011
Nevada,3104817.0,38.5,71646.0,37945.0,389456.0,12.543605629574948
New Hampshire,1379610.0,43.1,90845.0,48250.0,98162.0,7.11519922296881
New Jersey,9249063.0,40.0,97126.0,50995.0,879179.0,9.505600729500923
New Mexico,2112463.0,38.6,58722.0,32667.0,378651.0,17.92462163834349
New York,19994379.0,39.3,81386.0,47173.0,2655662.0,13.28204291816215
North Carolina,10470214.0,39.1,66186.0,37641.0,1357418.0,12.964567868431342
North Dakota,776874.0,35.4,73959.0,40748.0,80810.0,10.40194420201989
Ohio,11774683.0,39.6,66990.0,37729.0,1526507.0,12.964315047802137
Oklahoma,3970497.0,36.9,61364.0,33630.0,585991.0,14.75863097239464
Oregon,4229374.0,39.9,76632.0,41805.0,494158.0,11.683951336533491
Pennsylvania,12989208.0,40.8,73170.0,41234.0,1482439.0,11.412851345516986
Rhode Island,1094250.0,40.1,81370.0,43324.0,118033.0,10.786657527987206
South Carolina,5142750.0,40.0,63623.0,36072.0,717849.0,13.958465801370862
South Dakota,890342.0,37.5,69457.0,36850.0,105542.0,11.854096515720926
Tennessee,6923772.0,38.9,64035.0,36040.0,943583.0,13.628163954561185
Texas,29243342.0,35.2,73035.0,37514.0,3990326.0,13.645246155518066
Utah,3283809.0,31.4,86833.0,37023.0,275188.0,8.38014634834121
Vermont,643816.0,42.9,74014.0,41680.0,64739.0,10.055512755197137
Virginia,8624511.0,38.7,87249.0,47210.0,836686.0,9.701257265484385
Washington,7688549.0,38.0,90325.0,48685.0,747538.0,9.722744824803744
West Virginia,1792967.0,42.6,55217.0,31462.0,291860.0,16.278046389030028
Wisconsin,5882128.0,39.9,72458.0,40130.0,611661.0,10.398634643788778
Wyoming,577929.0,38.5,72495.0,39547.0,60134.0,10.405084361573827
Puerto Rico,3272382.0,43.7,24002.0,15637.0,1368360.0,41.815411525915984
